gene,U_statistic_MWU,p_value_MWU,FDR,hbMonocytes,htMonocytes,fold_change
A2ML1,716914.5,2.06108E-08,4.16146E-08,0.041037518,0.021699219,0.860132996
AAAS,702526,1.0586E-05,1.59552E-05,0.024684375,0.024493219,0.99843197
AACS,704841.5,0.0035815,0.004326572,0.057758792,0.066292576,1.055062595
AAED1,674309,0.335997335,0.350530838,0.044241124,0.057697459,1.095120861
AAGAB,699965.5,0.000895492,0.001134384,0.029946749,0.029522024,0.996660211
AAK1,739444.5,4.30565E-06,6.75156E-06,0.236380289,0.252924643,1.049592671
AAMDC,691882,0.162863784,0.174217225,0.064790923,0.067980695,1.019688071
AAMP,729627,9.95623E-10,2.34729E-09,0.068385726,0.042325888,0.842643578
AAR2,705975,2.07917E-06,3.36759E-06,0.029757029,0.018148364,0.908579911
AARD,749467,2.16162E-15,1.01508E-14,0.075785998,0.046435942,0.830356822
AARS,674433,0.193233817,0.20553109,0.010926881,0.032398618,1.198534035
AARS2,763936.5,9.72754E-18,5.93892E-17,0.110113941,0.071138723,0.812021291
AARSD1,741668,5.9987E-11,1.63959E-10,0.099710987,0.061466248,0.805800705
AASDH,714994,3.04951E-11,8.63792E-11,0.047085697,0.006410729,0.718142172
AASDHPPT,722318,5.55372E-10,1.35052E-09,0.065609597,0.023186756,0.739472052
AATBC,741674.5,2.04335E-19,1.47138E-18,0.059268962,0.017736078,0.734603124
AATF,736846,2.19883E-13,8.07591E-13,0.07027522,0.026464783,0.738444765
AATK,696470,0.004354104,0.005230078,0.03961034,0.030850727,0.93598406
ABAT,745628.5,1.88167E-14,7.89961E-14,0.113384345,0.050348582,0.700697501
ABCA1,623593,1.08747E-11,3.24556E-11,0.03513784,0.172943279,2.041122465
ABCA2,710537.5,2.15588E-06,3.48604E-06,0.031911,0.0264824,0.957961989
ABCA7,717267,5.45258E-11,1.49746E-10,0.044502163,0.015489746,0.795293211
ABCA9,713206.5,4.04128E-07,7.05735E-07,0.028828219,0.022629055,0.950820873
ABCB10,704285,5.88006E-05,8.27131E-05,0.028126489,0.027510616,0.995086813
ABCB5,722012,9.61808E-10,2.27086E-09,0.043376836,0.023070371,0.855574204
ABCB7,713107,1.46725E-08,3.0175E-08,0.034734737,0.013859166,0.84180292
ABCB9,763445,1.74966E-15,8.29217E-15,0.120678034,0.095073767,0.88249672
ABCC1,735401,1.33155E-10,3.48406E-10,0.08128619,0.048621577,0.817015961
ABCC10,694177,0.025736019,0.029136847,0.029281493,0.037791854,1.067272376
ABCC3,742506.5,4.26021E-12,1.34124E-11,0.083385043,0.061985712,0.881516075
ABCC5,708548,3.40201E-06,5.3866E-06,0.048240044,0.018106349,0.792845137
ABCC6,698415.5,0.002170054,0.002657744,0.02855251,0.016083181,0.90086165
ABCD1,702605,9.86433E-05,0.000136048,0.037725823,0.018705028,0.859053392
ABCD3,733020,2.27491E-11,6.54273E-11,0.08199659,0.037016453,0.749024353
ABCD4,747457,1.30895E-16,7.09366E-16,0.07758406,0.033113862,0.745606336
ABCE1,710637,2.45242E-05,3.57462E-05,0.052841081,0.040388446,0.917018729
ABCF1,702248.5,0.009543484,0.011158335,0.079371249,0.087843817,1.047977185
ABCF2,721756.5,7.47891E-09,1.59045E-08,0.050610982,0.035437066,0.897359469
ABCG1,731301.5,2.83865E-06,4.52994E-06,0.138034933,0.157608804,1.083201202
ABHD1,715768,1.40436E-05,2.09109E-05,0.056680131,0.054104705,0.983266098
ABHD10,716712,1.16854E-12,3.90477E-12,0.035312133,0.005552337,0.775459898
ABHD11,747739,3.16367E-16,1.64673E-15,0.076148315,0.046903259,0.83131698
ABHD12,676510,0.522849013,0.538374805,0.031753178,0.063617511,1.24705302
ABHD13,704852,0.0001366,0.000186184,0.034995726,0.037611722,1.019785133
ABHD14B,704048.5,0.000159712,0.000216203,0.040361977,0.034688596,0.958764993
ABHD15,735562.5,6.03063E-10,1.46066E-09,0.081179443,0.058307725,0.871798162
ABHD17A,745668,6.07522E-11,1.65957E-10,0.1129887,0.088521698,0.883608653
ABHD17B,699638,0.001286121,0.001608519,0.042407422,0.03020806,0.912632014
ABHD17C,656475,1.73174E-07,3.16171E-07,0.004412436,0.040693262,1.356964862
ABHD18,788027.5,2.13358E-24,2.44296E-23,0.150606872,0.069304756,0.671945868
ABHD2,739795,1.47487E-06,2.42592E-06,0.214858262,0.197848111,0.945494748
ABHD3,751465,5.22212E-17,2.9362E-16,0.088238976,0.044281918,0.762988104
ABHD4,698022,0.000277613,0.000368185,0.032043772,0.013624643,0.85751241
ABHD5,679254,0.84435893,0.852142249,0.072729522,0.109142915,1.214254334
ABHD6,697702,0.00552892,0.006590873,0.034490621,0.033761833,0.994466943
ABI1,744278.5,2.10929E-10,5.38317E-10,0.128305699,0.088371053,0.822929966
ABI2,739024,7.08904E-13,2.42882E-12,0.072635076,0.039554347,0.805246645
ABI3,721993,2.27255E-06,3.66315E-06,0.114637848,0.096415601,0.913990174
ABL1,696601.5,0.011412493,0.013262175,0.035278346,0.030920883,0.967114195
ABL2,701678.5,0.052645349,0.058286136,0.121767235,0.144923892,1.105742134
ABLIM1,692033,0.005906776,0.007022404,0.014496929,0.024722749,1.091529592
ABR,733105,1.78913E-07,3.25917E-07,0.124166204,0.10178777,0.898918833
ABRACL,778228.5,5.72145E-18,3.57829E-17,0.235783078,0.147012122,0.733426644
ABRAXAS1,715555.5,2.7765E-07,4.94503E-07,0.045220216,0.03880732,0.954979766
ABRAXAS2,709015,1.218E-06,2.02391E-06,0.089009296,0.023222114,0.646749558
ABT1,735700.5,1.59773E-15,7.60231E-15,0.060225073,0.029239991,0.80320635
ABTB1,780722,3.29213E-26,4.36443E-25,0.135069863,0.063675888,0.692657349
AC002044.2,705451,2.27255E-06,3.66315E-06,0.0259625,0.01779382,0.9336888
AC002350.2,699039.5,0.000220272,0.0002943,0.022535646,0.020596048,0.983804317
AC003102.1,700304,1.61597E-05,2.39556E-05,0.028397107,0.011760055,0.867562216
AC003681.1,755076.5,1.51831E-12,5.00318E-12,0.115263609,0.085462543,0.859751862
AC003991.1,820134.5,1.07393E-23,1.16271E-22,0.356993294,0.23795013,0.737916133
AC004156.1,703098,2.94863E-05,4.26536E-05,0.026596938,0.016984269,0.922366696
AC004490.1,743221,4.15988E-15,1.88881E-14,0.071036024,0.033448195,0.776609382
AC004494.1,721632,4.62898E-08,8.9868E-08,0.046563869,0.04586174,0.995116935
AC004528.1,753535.5,2.64438E-15,1.23168E-14,0.085015606,0.058217858,0.852953647
AC004584.3,733973,1.87383E-13,6.93979E-13,0.051869305,0.030554236,0.85703588
AC004656.1,710808,2.17598E-08,4.37621E-08,0.041293714,0.012742831,0.793883593
AC004687.1,669031.5,0.195521868,0.207873986,0.083000091,0.134029991,1.28314611
AC004817.3,696752.5,0.009141547,0.010703585,0.024566464,0.030907308,1.05206332
AC004846.1,750751.5,8.08455E-19,5.50111E-18,0.065591288,0.022564706,0.735734636
AC004847.1,707404.5,4.76983E-05,6.76722E-05,0.045160254,0.030843671,0.899451451
AC004893.2,725833,4.53633E-12,1.42266E-11,0.04447662,0.018357276,0.815673029
AC004951.1,735794,4.65222E-15,2.10159E-14,0.069288541,0.02324671,0.723494198
AC005005.4,849984.5,3.17514E-39,9.15341E-38,0.286996841,0.131838863,0.596175568
AC005072.1,706195.5,0.000214216,0.000286562,0.047375911,0.041832832,0.961666243
AC005089.1,725748,4.08451E-09,8.93768E-09,0.047035444,0.038144358,0.938367614
AC005154.1,757957,1.7656E-11,5.14475E-11,0.171212045,0.141454521,0.889145047
AC005224.3,721845.5,5.41719E-08,1.04277E-07,0.057333992,0.038931294,0.880933789
AC005253.1,740977,2.78825E-12,8.95476E-12,0.076788326,0.047733564,0.833030949
AC005261.2,709896.5,6.35909E-06,9.79342E-06,0.045500821,0.030136856,0.892352937
AC005332.9,760385,2.33789E-20,1.87339E-19,0.111102669,0.039777841,0.657630748
AC005342.1,753201.5,2.38751E-17,1.40228E-16,0.097876294,0.036210003,0.68392604
AC005358.2,699580.5,0.000156958,0.000212683,0.025380539,0.01638378,0.926620006
AC005480.1,731769,3.00688E-15,1.38924E-14,0.04184748,0.009627891,0.768324419
AC005562.1,713129,1.621E-09,3.72174E-09,0.034387522,0.014308778,0.847439933
AC005614.1,732829.5,6.84946E-12,2.10275E-11,0.050935997,0.032729352,0.87711542
AC005616.1,756706,7.77189E-11,2.09776E-10,0.16227237,0.146265563,0.938315999
AC005632.2,725376,1.70532E-11,4.97951E-11,0.086141621,0.026522185,0.674861282
AC005696.4,720910,6.79477E-08,1.29555E-07,0.047623836,0.040691358,0.952139757
AC005726.2,720358,4.12424E-08,8.03893E-08,0.047707865,0.030524509,0.881438822
AC005736.1,736308.5,1.05072E-13,4.00871E-13,0.051225241,0.028534735,0.847150277
AC005838.2,699153,4.9834E-05,7.05789E-05,0.026592221,0.012783543,0.888474879
AC005899.6,707752,7.649E-07,1.29779E-06,0.03895916,0.023453188,0.886139291
AC005921.2,697498,0.004909516,0.005875501,0.024424379,0.021791346,0.978355471
AC006064.1,734485.5,7.68187E-11,2.07519E-10,0.054976324,0.051858296,0.979513726
AC006141.1,721243,1.11839E-10,2.95729E-10,0.036831964,0.012140998,0.815816713
AC006305.1,706724.5,6.59889E-07,1.12727E-06,0.027382094,0.012225345,0.878363218
AC006486.2,692479.5,0.022385791,0.025452409,0.021548673,0.023124671,1.013268973
AC006511.3,770141.5,2.1836E-21,1.95202E-20,0.118484243,0.065050196,0.752286172
AC006538.1,701785,4.70776E-05,6.68402E-05,0.02094692,0.020468594,0.995952269
AC006548.3,768064,2.53527E-15,1.18369E-14,0.146523995,0.117477875,0.88083571
AC007114.2,732946,2.74229E-15,1.27364E-14,0.040763951,0.012553719,0.79556097
AC007216.3,737929,5.36183E-09,1.15998E-08,0.105772239,0.089276878,0.918740769
AC007283.1,675004,0.292204371,0.306451339,0.019830844,0.048154606,1.24196891
AC007388.1,755820.5,8.10939E-13,2.76274E-12,0.13797426,0.094508694,0.815196477
AC007608.4,662240.5,2.12132E-05,3.11157E-05,0.003285504,0.045242127,1.417437152
AC007610.4,738839,2.01255E-13,7.41411E-13,0.062941374,0.045031163,0.888177128
AC007611.1,717801,2.25379E-11,6.48409E-11,0.039312864,0.00727428,0.765349387
AC007620.2,706115,0.000491437,0.00063788,0.037268201,0.044293504,1.052235561
AC007638.2,707614,1.45665E-06,2.39757E-06,0.026865608,0.015397098,0.907579203
AC007998.4,721590,1.74712E-10,4.50251E-10,0.04247352,0.022132235,0.854391064
AC008079.2,786633,3.44674E-20,2.69111E-19,0.170985161,0.106793475,0.760666047
AC008105.3,748787.5,3.36848E-08,6.63081E-08,0.192517384,0.195879296,1.011603127
AC008124.1,697913,0.001284036,0.001606117,0.03347718,0.01420008,0.852510729
AC008147.2,725736,6.12364E-11,1.67139E-10,0.056406674,0.026444947,0.804976297
AC008536.3,717452.5,1.06792E-06,1.78548E-06,0.052012538,0.039203765,0.914171636
AC008555.2,701173,0.000412636,0.000539333,0.031271697,0.025944108,0.958538948
AC008569.2,729821,1.35385E-11,4.00118E-11,0.046903977,0.02737357,0.864493102
AC008609.1,705487,5.98258E-06,9.23254E-06,0.024058823,0.025679583,1.013363417
AC008735.1,708299,1.18513E-05,1.77743E-05,0.041425006,0.019571446,0.842382747
AC008741.2,704327,2.87346E-06,4.58399E-06,0.028316384,0.012783099,0.876269148
AC008758.4,735009,5.11302E-13,1.78443E-12,0.050557777,0.025041402,0.827338099
AC008770.1,734874.5,1.66412E-12,5.45967E-12,0.059661984,0.036525379,0.852526494
AC008870.1,701458,2.82336E-05,4.09449E-05,0.02685324,0.014902069,0.903679995
AC008895.1,715279,4.92782E-08,9.53658E-08,0.035407296,0.021808982,0.897473224
AC008915.1,719598,1.96062E-10,5.0248E-10,0.040338832,0.014075787,0.80908402
AC008938.1,713104,6.45934E-07,1.10498E-06,0.034589198,0.030086411,0.965839768
AC008969.1,772526,3.68111E-23,3.83213E-22,0.100113961,0.043644287,0.713843593
AC008993.1,721613,5.54167E-10,1.34793E-09,0.039575585,0.021940611,0.871089482
AC009035.1,669475,0.094387424,0.102669241,0.038839539,0.077895075,1.28703783
AC009084.2,712495,6.08098E-06,9.37993E-06,0.048734415,0.030097249,0.872312274
AC009088.1,704200,1.4471E-05,2.15243E-05,0.025182554,0.020020803,0.957831279
AC009090.5,746516,6.59129E-13,2.26545E-12,0.07676101,0.061618502,0.912966859
AC009118.3,738325,2.04604E-12,6.66107E-12,0.07603925,0.035077488,0.763587279
AC009123.1,703131.5,8.96208E-06,1.35896E-05,0.032396059,0.010156535,0.828425996
AC009148.1,707678,2.21036E-06,3.57117E-06,0.035102136,0.026442436,0.934558167
AC009159.4,716501,5.51788E-09,1.19242E-08,0.044504555,0.017629358,0.810376279
AC009303.4,696139,0.001117458,0.001403883,0.023190737,0.016955637,0.948220019
AC009336.3,705549,1.31979E-05,1.97089E-05,0.036220483,0.014682057,0.838596997
AC009403.1,770047.5,1.41741E-19,1.03532E-18,0.124711369,0.054981248,0.68580964
AC009812.3,781552.5,8.19276E-22,7.58122E-21,0.140070078,0.077230145,0.735181792
AC009831.5,710217.5,0.000760951,0.000969496,0.052869006,0.07090323,1.120153235
AC009948.5,705411,2.13489E-05,3.13007E-05,0.028798901,0.019626092,0.927213466
AC009961.1,709044,4.14676E-08,8.0796E-08,0.026363212,0.01595527,0.915784997
AC010168.1,701196,0.00014575,0.000198184,0.026097178,0.019730314,0.948371911
AC010168.2,711783.5,2.1518E-06,3.48002E-06,0.033672659,0.035353906,1.012844024
AC010422.2,731256.5,2.14154E-16,1.1378E-15,0.042502088,0.009387797,0.763006566
AC010530.1,686178,0.225659194,0.238872698,0.013783658,0.025537305,1.105880903
AC010542.4,715297,3.81376E-08,7.45312E-08,0.047451017,0.026642986,0.856174514
AC010547.1,725512,1.25869E-11,3.73581E-11,0.041208871,0.018554449,0.836351476
AC010615.2,684564,0.502634918,0.517943596,0.015008274,0.02750033,1.111304856
AC010913.1,733370,3.38976E-14,1.382E-13,0.047349154,0.01822073,0.79852195
AC010931.2,730002,3.96246E-11,1.11109E-10,0.067926911,0.030438092,0.773003381
AC010997.6,688501,0.065363544,0.071885144,0.016414198,0.031536885,1.133076878
AC011287.1,717032,2.80994E-09,6.26403E-09,0.039996341,0.015803383,0.823693311
AC011365.1,659972,4.91501E-07,8.50655E-07,0.001895001,0.038807773,1.372406644
AC011379.2,698911,0.001379219,0.001717898,0.026375455,0.031196493,1.039005163
AC011416.3,715899.5,2.49187E-08,4.98067E-08,0.041937188,0.022765018,0.862231001
AC011447.3,728328,2.71717E-10,6.85022E-10,0.058361734,0.040494348,0.885160904
AC011472.2,707321,3.18937E-08,6.29604E-08,0.037026343,0.009414887,0.794329414
AC011498.1,663459,0.000119515,0.0001637,0.00635056,0.038655925,1.311902833
AC011498.4,737734.5,4.6611E-12,1.4585E-11,0.067205222,0.049550884,0.892632949
AC011498.7,746798,1.78639E-14,7.51578E-14,0.09920497,0.047038284,0.734425402
AC011592.1,735814.5,6.348E-11,1.73021E-10,0.07056415,0.042890258,0.835066993
AC011899.2,702041.5,6.12907E-06,9.44963E-06,0.033774375,0.018665233,0.884662075
AC012038.1,711094.5,1.25777E-06,2.08749E-06,0.04299663,0.021651889,0.847778032
AC012146.1,703172,0.000370133,0.000485603,0.029290074,0.036236159,1.054903425
AC012313.1,696350,0.004240563,0.005096836,0.01969313,0.024233527,1.03883414
AC012317.2,781578,1.30734E-30,2.32035E-29,0.101266572,0.033826902,0.660238323
AC012349.1,760711.5,3.80951E-17,2.17968E-16,0.108572993,0.081292294,0.867439132
AC012358.3,714051.5,5.49266E-09,1.1875E-08,0.02543287,0.016672004,0.928574503
AC012368.1,705539,8.18258E-05,0.000113561,0.039628231,0.041937824,1.01687648
AC012485.3,712562.5,1.67266E-09,3.83222E-09,0.038036093,0.009174201,0.786620153
AC012593.1,704188,1.80463E-05,2.66469E-05,0.027708765,0.019822147,0.936873369
AC012645.2,739813.5,1.75756E-16,9.4151E-16,0.047401277,0.017325164,0.792041869
AC012645.4,681495.5,0.962299231,0.964774535,0.163312615,0.28960508,1.484738804
AC012676.5,701329,0.000326567,0.00043065,0.031403907,0.016986159,0.88791166
AC013448.1,714601,9.58996E-09,2.01129E-08,0.043330026,0.024925147,0.869055267
AC013652.1,706062,8.09141E-07,1.36856E-06,0.028092483,0.014006153,0.887594435
AC015563.1,714073,1.39896E-08,2.88436E-08,0.029857275,0.011707705,0.857182
AC015691.1,709379,1.11259E-06,1.85667E-06,0.033538771,0.022545153,0.915927346
AC015802.6,721521.5,7.78782E-06,1.18792E-05,0.065519276,0.061529921,0.975486903
AC015813.3,705406.5,0.002321373,0.002834402,0.055027704,0.077877991,1.150081785
AC015849.4,718353.5,5.33212E-12,1.65782E-11,0.033619976,0.011061861,0.827596016
AC015871.3,687430,0.120309528,0.130052811,0.023795082,0.01809637,0.952910837
AC015883.1,754142,2.31709E-20,1.85978E-19,0.078620696,0.023673851,0.687527231
AC015920.1,717337.5,9.66134E-09,2.02539E-08,0.033847146,0.02316452,0.91849783
AC016027.2,723025,1.17198E-12,3.91279E-12,0.04382662,0.010890839,0.766497609
AC016065.1,695507,0.003742286,0.004510742,0.022629175,0.021003013,0.986432109
AC016168.3,706563,1.03618E-06,1.73569E-06,0.020449789,0.025750269,1.045043645
AC016734.2,707788,3.46865E-05,4.98209E-05,0.034595275,0.028655284,0.954938555
AC016745.2,719493,5.00343E-11,1.3819E-10,0.040288383,0.013681471,0.806513354
AC016747.1,737851.5,1.13651E-14,4.90658E-14,0.068722549,0.029971676,0.766486563
AC016831.1,669099,0.02140648,0.02436453,0.012126035,0.045203671,1.302491675
AC016831.5,636481.5,2.45894E-11,7.04081E-11,0.023465205,0.087923521,1.534082836
AC016949.1,690328.5,0.159512493,0.170819841,0.053151132,0.047355492,0.961458925
AC018362.2,723277,1.66324E-10,4.30119E-10,0.051682789,0.029173855,0.848839307
AC018521.2,722235,7.63066E-11,2.06193E-10,0.042361424,0.018974963,0.832458352
AC018521.5,715831,2.0628E-08,4.16406E-08,0.035759576,0.020634449,0.886263649
AC018628.1,705132.5,5.85078E-05,8.23249E-05,0.031666295,0.029015959,0.97943736
AC018647.2,753206,2.72527E-17,1.58727E-16,0.080658822,0.049662877,0.825751294
AC018695.2,715460.5,3.67693E-11,1.0337E-10,0.030954571,0.008189537,0.822396683
AC018695.7,734848.5,8.79654E-14,3.39728E-13,0.069028624,0.01966208,0.703064023
AC018737.2,706179.5,0.006090057,0.007233242,0.080483854,0.092053619,1.065105342
AC018755.4,717867,5.27182E-10,1.2855E-09,0.04673483,0.012974502,0.765487092
AC019185.2,686603,0.308957688,0.323394964,0.027797511,0.024295188,0.971986361
AC019205.2,788699,8.60953E-22,7.93673E-21,0.174220864,0.109660424,0.762160488
AC019294.2,701136,0.004549905,0.005459214,0.04058252,0.050776902,1.073975763
AC020656.1,741739.5,6.59078E-09,1.41082E-08,0.123220873,0.11513522,0.963321288
AC020658.6,697391,0.000847899,0.001076753,0.027736769,0.015583019,0.902739887
AC020741.1,727211.5,6.47902E-11,1.76493E-10,0.045710168,0.021940019,0.833699241
AC020743.1,719353.5,1.79864E-10,4.62794E-10,0.035458894,0.024953598,0.92082435
AC020907.3,733035,1.61695E-11,4.73709E-11,0.07324686,0.0412355,0.812218582
AC020916.1,654472,2.65672E-06,4.25355E-06,0.009622764,0.065859446,1.526327601
AC020917.3,802694.5,5.50114E-26,7.17578E-25,0.188835179,0.099593934,0.688032806
AC020917.4,723929,1.04463E-11,3.12524E-11,0.043292851,0.019619766,0.831529135
AC021016.2,706533.5,5.81356E-05,8.18485E-05,0.038584751,0.022713201,0.883133544
AC021054.1,702687,2.15329E-07,3.88477E-07,0.038631119,0.003952618,0.744740087
AC021072.1,733860,5.9754E-13,2.06543E-12,0.053563389,0.02096463,0.783810538
AC021078.1,668303,0.30667594,0.321110075,0.198446702,0.260781453,1.210824539
AC021087.3,706134.5,1.27574E-07,2.36057E-07,0.03555796,0.008809767,0.798556325
AC021752.1,694462,0.046514539,0.051698149,0.028368204,0.049019387,1.164429763
AC022107.1,726995,1.81719E-12,5.94184E-12,0.047535752,0.022166783,0.82475187
AC022144.1,730397,1.94461E-10,4.98507E-10,0.061967997,0.038188956,0.850627154
AC022150.2,727642,2.45459E-14,1.01733E-13,0.042557762,0.009461809,0.763232146
AC022182.2,708229,1.92251E-06,3.12424E-06,0.02611463,0.015309321,0.912393522
AC022211.4,710727.5,3.35847E-08,6.61244E-08,0.031455023,0.017406141,0.890822731
AC022431.2,697089,0.003186276,0.003862537,0.022081861,0.017377306,0.960567456
AC022497.1,699141,0.000836053,0.001062402,0.03783582,0.020673075,0.872925365
AC022532.1,711381,1.32855E-06,2.19861E-06,0.034779001,0.026610331,0.938117789
AC022540.1,683052.5,0.701345783,0.71432292,0.020604381,0.034065228,1.114240616
AC022558.2,707413.5,3.66762E-05,5.25472E-05,0.033573987,0.020175115,0.897560983
AC022819.1,743444,1.63894E-11,4.79863E-11,0.088456767,0.065499775,0.876363464
AC022916.1,720114,1.33998E-10,3.50518E-10,0.037307874,0.012356043,0.814529217
AC022929.2,746018,2.65591E-13,9.64202E-13,0.089773905,0.051532784,0.795500318
AC023157.3,719695,1.51959E-08,3.11658E-08,0.046111161,0.027056624,0.867063557
AC023590.1,777579,3.91239E-23,4.05988E-22,0.131326615,0.058837626,0.682832533
AC023632.2,714746.5,6.05549E-09,1.30138E-08,0.029895022,0.018063669,0.906927357
AC024600.1,813490,1.47025E-39,4.31509E-38,0.151281228,0.037306893,0.541361396
AC025048.4,695883,0.00391676,0.00471521,0.017173944,0.023264982,1.053244042
AC025164.2,662346,0.003729929,0.004496559,0.027257069,0.06877956,1.333563279
AC025262.2,707544,0.000363466,0.000477113,0.059659557,0.051340712,0.946974582
AC025268.1,703764,1.87832E-05,2.76931E-05,0.028734033,0.016101914,0.899712109
AC025419.1,758779,1.48501E-21,1.34604E-20,0.084785492,0.03012347,0.699675762
AC025569.1,735366,5.39225E-16,2.72946E-15,0.056162633,0.010555356,0.702665625
AC025580.3,798984,2.37626E-22,2.30162E-21,0.202255151,0.138133008,0.785888171
AC026362.2,723208,8.01317E-09,1.69851E-08,0.047658228,0.044569997,0.978684619
AC026401.3,701452.5,0.000167219,0.000225927,0.039576884,0.018612536,0.846753434
AC026471.6,732893.5,9.38026E-11,2.50074E-10,0.077050839,0.049360839,0.841113521
AC026992.2,731114.5,5.37763E-15,2.40586E-14,0.044260907,0.016465792,0.803547872
AC027097.1,726227,2.46417E-12,7.96116E-12,0.04943975,0.023353541,0.822136592
AC027279.1,690367,0.028313515,0.031957244,0.026203856,0.016304801,0.919799202
AC027288.3,708603,6.22989E-06,9.599E-06,0.024998251,0.022647688,0.980768204
AC027290.2,585348,4.39542E-15,1.99019E-14,0.107086715,0.502145844,2.933614206
AC027601.5,700079,0.000283944,0.000376224,0.021835838,0.020363054,0.987629939
AC027644.3,708899,1.50616E-06,2.47363E-06,0.036317829,0.023763633,0.905990902
AC027682.7,719239.5,6.60366E-09,1.41296E-08,0.041062813,0.023595412,0.873687635
AC027796.3,718569,8.4417E-09,1.78546E-08,0.042926798,0.022003474,0.850709061
AC034229.1,741719.5,2.08894E-15,9.8284E-15,0.058864807,0.031474903,0.824524188
AC037487.1,697217.5,0.001679084,0.00207785,0.02357485,0.018225155,0.955714216
AC040160.1,734951.5,1.76974E-09,4.04039E-09,0.071632729,0.075101307,1.020541479
AC040160.2,682936,0.84349974,0.851437306,0.090134968,0.126657632,1.19493361
AC044810.2,722865,7.64859E-12,2.3341E-11,0.033320679,0.011992126,0.836619416
AC055713.1,726061.5,9.66551E-08,1.81186E-07,0.066376597,0.061592332,0.970756528
AC060780.1,705081,9.15234E-05,0.000126569,0.031373187,0.034096735,1.021178813
AC064805.1,709112,2.71106E-05,3.9369E-05,0.065666183,0.039662367,0.840360354
AC064853.3,710874,5.7639E-06,8.91059E-06,0.04554471,0.032234766,0.906773027
AC067863.2,707071,1.09886E-05,1.65262E-05,0.030618645,0.021742492,0.93056999
AC067930.3,713352,1.51793E-07,2.78544E-07,0.030876489,0.01955829,0.9116463
AC068205.2,759834,4.70091E-18,2.97633E-17,0.087385592,0.05165703,0.806464772
AC068473.3,786217.5,2.32645E-31,4.35105E-30,0.098467232,0.027387812,0.636778687
AC068547.1,726146.5,4.51958E-07,7.85706E-07,0.11380121,0.079116544,0.835637749
AC068587.6,777809.5,5.52173E-17,3.0993E-16,0.20260346,0.162316795,0.865634078
AC068631.1,750252,5.24277E-14,2.08512E-13,0.099204006,0.061256627,0.806813312
AC068888.2,761841.5,2.8539E-21,2.50526E-20,0.089670449,0.033367116,0.698743473
AC069185.1,717059.5,4.45088E-11,1.23948E-10,0.034574798,0.011389875,0.824089217
AC069222.1,729313,5.9299E-14,2.33931E-13,0.043114332,0.011677774,0.775995347
AC073082.1,730781.5,2.77685E-11,7.90697E-11,0.05325276,0.025471637,0.815379962
AC073218.2,703097,7.07266E-06,1.08375E-05,0.023398597,0.016592313,0.943573969
AC073320.1,735316,1.20867E-10,3.17875E-10,0.07308319,0.04898054,0.85847588
AC073508.3,707974,1.50239E-05,2.23193E-05,0.034564637,0.03165402,0.977914593
AC073896.3,715284.5,4.70656E-06,7.35065E-06,0.051640878,0.052058188,1.002803273
AC073896.4,739738.5,7.70476E-12,2.34904E-11,0.126518712,0.08205925,0.801292493
AC073957.3,702845.5,0.000163105,0.000220522,0.027680695,0.024666306,0.975866589
AC074029.3,703791,1.17514E-05,1.76272E-05,0.034457946,0.014443151,0.848007151
AC074032.1,835501.5,2.22038E-34,4.96224E-33,0.302400356,0.147627794,0.612705398
AC074117.1,790032,5.65761E-19,3.90423E-18,0.226364286,0.156111165,0.782893856
AC078925.3,698353,0.001312473,0.001639582,0.02563308,0.01874536,0.943937376
AC079331.2,732489.5,3.83378E-15,1.74726E-14,0.047212123,0.01208606,0.75680645
AC079336.5,714336.5,8.44151E-07,1.42654E-06,0.04232768,0.031512479,0.922500686
AC079915.1,718963.5,1.36651E-11,4.03371E-11,0.039821363,0.013508664,0.80800082
AC080128.2,720597,4.84332E-08,9.38424E-08,0.05509853,0.045726762,0.9384744
AC083798.2,713035.5,1.11348E-07,2.07294E-07,0.039079387,0.02215489,0.875832648
AC083799.1,696709,0.001941002,0.002389228,0.028321736,0.021411453,0.944958276
AC083836.1,712679,3.81782E-06,6.01081E-06,0.035481617,0.033597972,0.985805902
AC084855.2,704196.5,4.31647E-06,6.76745E-06,0.018396154,0.020540274,1.018544436
AC087164.1,713018.5,8.00708E-06,1.21965E-05,0.041665822,0.037558123,0.970424878
AC087284.1,679057.5,0.77849288,0.789676725,0.028678735,0.056170026,1.218352479
AC087388.1,734518.5,1.3532E-14,5.78315E-14,0.049394896,0.01759456,0.783109668
AC087473.1,729654,2.33104E-11,6.68837E-11,0.066236894,0.031720363,0.788839899
AC087741.1,707911.5,1.2371E-08,2.56094E-08,0.037787833,0.005494112,0.760809154
AC090114.2,799728,1.81141E-25,2.27453E-24,0.200191328,0.092186533,0.636855968
AC090559.2,712379,1.36531E-06,2.25676E-06,0.054808863,0.027721806,0.821834823
AC090616.7,719405,1.18572E-10,3.1226E-10,0.037347132,0.017472586,0.852312545
AC090907.2,712252,7.18121E-08,1.36561E-07,0.026399281,0.016353058,0.918735536
AC090921.1,699698.5,0.000295017,0.000390418,0.0259098,0.015357961,0.914306282
AC091152.4,762905,7.11533E-14,2.77994E-13,0.154014354,0.131163783,0.909048431
AC091167.3,687913.5,0.254818458,0.268572316,0.028030893,0.045973372,1.14324712
AC091271.1,696793,1.79164E-05,2.64711E-05,0.029329464,0.011919299,0.862428959
